CITY_LIST
'Phoenix', 'Tucson'
'Los Angeles', 'San Diego', 'San Francisco'
'Miami', 'Tampa', 'Orlando', 'Jacksonville'
'Chicago', 'Detroit', 'Minneapolis', 'St. Paul'
'New York', 'Boston', 'Philadelphia'
'Austin', 'Dallas', 'Houston', 'San Antonio'
'Seattle', 'Portland', 'Spokane'
'Las Vegas', 'Reno', 'Phoenix'
'Denver', 'Salt Lake City', 'Albuquerque'
'Atlanta', 'Charlotte', 'Raleigh'
'San Francisco', 'Sacramento', 'Fresno'
'Boston', 'Worcester', 'Springfield'
'Detroit', 'Grand Rapids', 'Chicago'
'Minneapolis', 'St. Paul', 'Madison', 'Milwaukee'
'Kansas City', 'St. Louis', 'Omaha'
'Charlotte', 'Raleigh', 'Atlanta', 'Savannah'
'Albuquerque', 'El Paso', 'Phoenix', 'Tucson'
'Las Vegas', 'Los Angeles', 'San Diego'
'New York', 'Buffalo', 'Rochester'
'Cincinnati', 'Cleveland', 'Columbus'
'Portland', 'Salem', 'Seattle'
'Philadelphia', 'Pittsburgh', 'New York'
'Nashville', 'Memphis', 'Atlanta'
'Austin', 'Houston', 'Dallas'
'Salt Lake City', 'Denver', 'Boulder'
'Burlington', 'Boston', 'Worcester'
'Seattle', 'Portland', 'San Francisco'
'Madison', 'Milwaukee', 'Chicago'
'Phoenix', 'Scottsdale', 'Tucson'
'San Jose', 'San Francisco', 'Sacramento'
'Miami', 'Orlando', 'Tampa'
'Chicago', 'Naperville', 'Peoria'
'Indianapolis', 'Fort Wayne', 'Cincinnati'
'Des Moines', 'Davenport', 'Omaha'
'Boston', 'New York', 'Philadelphia'
'Detroit', 'Cleveland', 'Columbus'
'Minneapolis', 'Fargo', 'St. Paul'
'Lincoln', 'Omaha', 'Kansas City'
'Albuquerque', 'Phoenix', 'Tucson'
'Las Vegas', 'Los Angeles', 'San Diego', 'San Francisco'
'New York', 'Buffalo', 'Rochester', 'Boston'
'Cincinnati', 'Columbus', 'Cleveland', 'Pittsburgh'
'Portland', 'Seattle', 'Salem', 'Spokane'
'Nashville', 'Memphis', 'Atlanta', 'Savannah'
'Austin', 'Dallas', 'Houston', 'San Antonio', 'El Paso'
'Salt Lake City', 'Denver', 'Boulder', 'Fort Collins'
'Burlington', 'Boston', 'New York'
'Seattle', 'Portland', 'San Francisco', 'Sacramento'
'Madison', 'Milwaukee', 'Chicago', 'Minneapolis'
'Phoenix', 'Tucson', 'Las Vegas', 'Albuquerque'
'Los Angeles', 'San Diego', 'Phoenix'
'Miami', 'Jacksonville', 'Atlanta'
'Chicago', 'Indianapolis', 'Detroit'
'Boston', 'New York', 'Buffalo'
'Dallas', 'Houston', 'New Orleans'
'Seattle', 'Portland', 'Vancouver'
'Las Vegas', 'Phoenix', 'San Diego'
'Denver', 'Salt Lake City', 'Boise'
'Atlanta', 'Charlotte', 'Nashville'
'San Francisco', 'Sacramento', 'Portland'
'Boston', 'Springfield', 'Hartford'
'Detroit', 'Cleveland', 'Pittsburgh'
'Minneapolis', 'Madison', 'Milwaukee'
'Kansas City', 'St. Louis', 'Des Moines'
'Charlotte', 'Raleigh', 'Richmond'
'Albuquerque', 'Santa Fe', 'Phoenix'
'Las Vegas', 'Los Angeles', 'San Francisco'
'New York', 'Philadelphia', 'Washington'
'Cincinnati', 'Columbus', 'Indianapolis'
'Portland', 'Seattle', 'Tacoma'
'Philadelphia', 'Pittsburgh', 'Cleveland'
'Nashville', 'Memphis', 'St. Louis'
'Austin', 'San Antonio', 'Houston'
'Salt Lake City', 'Denver', 'Las Vegas'
'Burlington', 'Portland', 'Boston'
'Seattle', 'San Francisco', 'Los Angeles'
'Madison', 'Chicago', 'Detroit'
'Phoenix', 'Las Vegas', 'San Diego'
'San Jose', 'Sacramento', 'Fresno'
'Miami', 'Tampa', 'Jacksonville'
'Chicago', 'Naperville', 'Milwaukee'
'Indianapolis', 'Cincinnati', 'Columbus'
'Des Moines', 'Omaha', 'Lincoln'
'Boston', 'Providence', 'Hartford'
'Detroit', 'Toledo', 'Cleveland'
'Minneapolis', 'Rochester', 'St. Paul'
'Lincoln', 'Kansas City', 'St. Louis'
'Albuquerque', 'El Paso', 'Tucson'
'Las Vegas', 'Phoenix', 'Scottsdale'
'New York', 'Albany', 'Buffalo'
'Cincinnati', 'Dayton', 'Columbus'
'Portland', 'Eugene', 'Salem'
'Philadelphia', 'Harrisburg', 'Pittsburgh'
'Nashville', 'Knoxville', 'Memphis'
'Austin', 'Waco', 'Dallas'
'Salt Lake City', 'Provo', 'Denver'
'Burlington', 'Montpelier', 'Boston'
'Seattle', 'Olympia', 'Spokane'
'Madison', 'Green Bay', 'Milwaukee'
'Phoenix', 'Flagstaff', 'Tucson'
'Los Angeles', 'Anaheim', 'San Diego'
'Miami', 'Fort Lauderdale', 'Tampa'
'Chicago', 'Aurora', 'Naperville'
'Indianapolis', 'Bloomington', 'Fort Wayne'
'Des Moines', 'Cedar Rapids', 'Davenport'
'Boston', 'Cambridge', 'Worcester'
'Detroit', 'Ann Arbor', 'Grand Rapids'
'Minneapolis', 'Duluth', 'St. Paul'
'Lincoln', 'Grand Island', 'Omaha'
'Albuquerque', 'Santa Fe', 'Las Cruces'
'Las Vegas', 'Henderson', 'Reno'
